ABC,XYZ,Segment,Parça_Kodu,Ort_Talep_Ay,Std_Talep_Ay,EOQ,Güvenlik_Stoku,Yeniden_Sipariş_N,Lead_Time_Gun,Birim_Maliyet_TL,Siparis_Maliyeti,Elde_Tutma_Maliyet
A,Y,AY,Part-1,339717.5,286237.93,1879.1,384456.7,610935.1,20.0,493.38,50.0,9.6209
A,Y,AY,Part-10,44578.2,40836.13,2368.0,54848.5,84567.3,20.0,161.69,200.0,3.1799
A,Y,AY,Part-100,6239.05,1977.54,229.6,2656.1,6815.5,20.0,2392.59,150.0,35.4901
C,Z,CZ,Part-1000,18.71,0.0,39.0,0.0,8.7,14.0,149.15,100.0,2.461
C,Y,CY,Part-1001,70.1,37.07,150.4,29.5,45.8,7.0,86.79,300.0,1.8588
C,Z,CZ,Part-1002,4.62,0.0,3.6,0.0,2.2,14.0,5658.64,150.0,106.5711
C,Z,CZ,Part-1003,32.79,0.0,36.6,0.0,21.9,20.0,263.3,100.0,4.893
C,Y,CY,Part-1004,188.48,96.04,26.0,129.0,254.6,20.0,3863.98,100.0,55.7057
C,X,CX,Part-1005,51.13,16.37,11.9,18.4,42.3,14.0,4268.46,100.0,72.2081
C,Y,CY,Part-1006,79.3,0.0,107.8,0.0,52.9,20.0,278.6,500.0,6.8257
C,Y,CY,Part-1007,53.59,65.42,56.9,73.5,98.5,14.0,395.7,200.0,6.628
C,Z,CZ,Part-1008,9.66,0.0,15.6,0.0,6.4,20.0,399.63,100.0,7.9593
C,Y,CY,Part-1009,70.1,86.51,27.3,68.7,85.1,7.0,1062.3,75.0,14.0755
B,X,BX,Part-101,1930.71,332.49,788.5,446.6,1733.7,20.0,31.18,100.0,0.621
C,Z,CZ,Part-1010,34.62,0.0,51.4,0.0,23.1,20.0,147.7,75.0,1.9693
C,Z,CZ,Part-1011,38.83,0.0,19.7,0.0,25.9,20.0,1127.59,100.0,20.1087
C,Y,CY,Part-1012,16.83,15.4,20.4,12.2,16.2,7.0,403.7,100.0,8.1076
C,Z,CZ,Part-1013,33.64,0.0,8.4,0.0,22.4,20.0,5533.68,100.0,94.9948
C,Z,CZ,Part-1014,342.74,0.0,43.0,0.0,228.5,20.0,7549.5,300.0,111.3551
C,Y,CY,Part-1015,30.17,28.49,102.5,38.3,58.4,20.0,132.43,500.0,2.8693
C,Z,CZ,Part-1016,82.44,0.0,71.3,0.0,55.0,20.0,227.68,100.0,3.2444
C,Z,CZ,Part-1017,10.92,0.0,19.6,0.0,7.3,20.0,273.18,100.0,5.6912
C,Z,CZ,Part-1018,16.83,0.0,32.3,0.0,11.2,20.0,263.66,200.0,6.4597
C,Z,CZ,Part-1019,32.68,0.0,8.8,0.0,21.8,20.0,4605.96,100.0,84.8264
A,Y,AY,Part-102,3122.07,1532.72,1356.7,1722.4,3179.4,14.0,46.26,200.0,0.6785
