Parça_Kodu,is_intermittent,Selected_Model,WAPE,XGBoost_WAPE,LightGBM_WAPE,CatBoost_WAPE,RandomForest_WAPE,Croston_WAPE,SBA_WAPE,TSB_WAPE
Part-1,0,RandomForest,11.818911677184317,18.114122099134157,64.9954532768087,27.128259191837596,11.818911677184317,,,
Part-10,0,XGBoost,6.630707594779108,6.630707594779108,66.99358142856492,24.067958669745593,9.478839931914816,,,
Part-100,0,XGBoost,3.474445021114086,3.474445021114086,54.16226441478561,19.895038394688616,6.549256669323785,,,
Part-1000,1,TSB,83.75763082723778,,,,,84.32091044835282,85.10486492593517,83.75763082723778
Part-1001,0,RandomForest,1.032973353812362,10.600248377046686,40.54384137274044,17.690550551019594,1.032973353812362,,,
Part-1002,1,TSB,111.9034295099528,,,,,126.30006761963423,124.9850642386525,111.9034295099528
Part-1003,1,Croston,,,,,,,,
Part-1004,0,RandomForest,3.1110859977461875,12.166838162584673,46.275529300680496,12.798520398342426,3.1110859977461875,,,
Part-1005,0,RandomForest,4.500530935812967,5.850360912449262,26.405095129562106,9.36133304287982,4.500530935812967,,,
Part-1006,1,Croston,69.58656544326662,,,,,69.58656544326662,71.10723717110329,72.43752575612537
Part-1007,0,XGBoost,5.958691954015636,5.958691954015636,81.99515599271508,27.785513388878393,7.409153681663384,,,
Part-1008,1,Croston,100.0,,,,,100.0,100.0,100.0
Part-1009,0,RandomForest,4.983240640761047,7.176134318059177,95.36679536679537,17.990138769372148,4.983240640761047,,,
Part-101,0,XGBoost,0.6641308043438627,0.6641308043438627,13.015430625041697,8.707012283178138,2.4495535217355187,,,
Part-1010,1,SBA,173.30580937787664,,,,,177.16400987144917,173.30580937787664,182.66842419461736
Part-1011,1,TSB,82.3050669467052,,,,,87.99200355919199,86.631258723842,82.3050669467052
Part-1012,0,XGBoost,9.378462473578212,9.378462473578212,81.75461686614,29.845351819383687,10.18327156611266,,,
Part-1013,1,SBA,166.48217667689585,,,,,170.00216567642275,166.48217667689585,175.68898690726795
Part-1014,1,SBA,103.61875525773914,,,,,105.58260604327334,103.61875525773914,105.43606916861381
Part-1015,0,XGBoost,3.85518600698066,3.85518600698066,84.62031022086592,28.364074128523352,25.45834717223217,,,
Part-1016,1,Croston,74.25337944042752,,,,,74.25337944042752,75.37978619078272,80.49504952681681
Part-1017,1,TSB,82.6356193562842,,,,,85.95775689332005,86.65986904865404,82.6356193562842
Part-1018,1,Croston,82.12828427956393,,,,,82.12828427956393,83.02187006558572,85.00311638567003
Part-1019,1,SBA,100.0,,,,,100.00000000000003,100.0,100.0
Part-102,0,XGBoost,3.8840420760010055,3.8840420760010055,49.81325737991625,10.946025722249097,5.471379999389791,,,
Part-1020,1,TSB,120.24128556135756,,,,,144.74272930648772,142.5055928411633,120.24128556135756
Part-1021,1,Croston,,,,,,,,
Part-1022,1,TSB,118.82276735201333,,,,,137.4947885138365,135.37292265136304,118.82276735201333
Part-1023,0,RandomForest,2.2161822892974534,7.219613920497982,39.561975768872315,14.512479788264457,2.2161822892974534,,,
Part-1024,1,SBA,293.1727348330813,,,,,303.3397208769277,293.1727348330813,329.51751398874535
Part-1025,0,XGBoost,3.7770615595924726,3.7770615595924726,50.663572327178386,20.891733070654837,9.811789499849997,,,
Part-1026,1,SBA,185.73236202846272,,,,,194.05847414132612,185.73236202846272,198.56630025297062
Part-1027,1,Croston,,,,,,,,
Part-1028,1,TSB,77.63165808346004,,,,,82.12496337412438,80.70267953342072,77.63165808346004
Part-1029,1,TSB,81.54158215010143,,,,,83.39675972638001,82.24923411328618,81.54158215010143
Part-103,1,TSB,99.99999999999999,,,,,100.00000000000003,100.0,99.99999999999999
Part-1030,1,Croston,,,,,,,,
